計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2026/01/15,テスト衣料,-8541,テストカード 配偶者名義,衣服・美容,衣服,,0,1dn86rnatqzsx1gbzonjbbk6w91035zvl10vqdg73zj
1,2026/01/16,テスト贈答,-6976,テストカード 配偶者名義,交際費,交際費,,0,1cq5yjs19wdpg4e4wwe156a9bwhd10c5sqbbxv1tqha
1,2026/01/17,テスト家電,-21956,テストモール(ポイント),特別な支出,特別な支出,,0,88dc8yt7gn375c9svw1rdt5501tw1dko1xjq563s726
1,2026/01/18,テスト引き出し,-31329,テスト第二銀行 本人,その他,使途不明金,,0,1k8yr6c1yly4o915fztl2n2w3yp11upixz8s7ugj5zm
1,2026/01/19,テスト未分類決済,-5447,テストカード 配偶者名義,未分類,未分類,,0,wwker614m585e1eyum3e149dzh31njuutj1he7nwf1j
1,2026/01/10,Anthropic Claude 月額,-3000,テストカード 配偶者名義,通信費,サブスク,,0,1xcccin1ase9zj13s5mm717dn638y12zt21kll7p4uj
1,2026/01/10,GitHub 月額,-1800,テストカード 配偶者名義,通信費,サブスク,,0,ky0det1ivapl11mkvyxh1pazkks12jsbrvrugud11qc
1,2026/01/10,Adobe CC 月額,-6480,テストカード 配偶者名義,通信費,サブスク,,0,183k48rvp7xwbwom7cu6yu43412xyvbx1m845ip1w20
1,2026/01/10,Notion 月額,-1200,テストカード 配偶者名義,通信費,サブスク,,0,cn68398o48a21wx0zx71f95h1j18dbjoz1c2udw0ore
0,2026/01/26,カード引落,-150000,テスト銀行 本人普通,現金・カード,カード引き落とし,,1,gk7mbaebxb391qavajk1b2vyevtfgjcvvxagzc149mk
0,2026/01/27,ATM引き出し,-30000,テスト銀行 本人普通,現金・カード,ATM引き出し,,1,10tn1okms900b14e9im8x0xlhf15vbrsgvqtd1gmon7
0,2026/01/06,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,o0wt5n101i549e0rmelarkmdn10vey49p3at4quvrby
0,2026/01/13,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,1r587yjt4p8hh1jstfi01cy91u69gram812dg61ybur
0,2026/01/20,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,v7nhn01lpi2uql88fqrvzz8pzphc351cmhi3ylpqc3z
0,2026/01/27,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,1hfew848nxid5mlzd6v1yixc41ihhsri1gq15gcdqfq
0,2026/01/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,w2ny3cti2xdd5w6b5b1ck1i7j19g6ydl703i8n11a64
1,2026/02/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,1rorngh1htjxx91tx7gs6gelkbqf0tmic18gsaad1ti
1,2026/02/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,ngc88l19ntptp12ii5qyohfc041s6eeqqji2pdytqf0
1,2026/02/15,テストクライアント 入金,245022,テスト銀行 本人普通,収入,事業収入,,0,193tut10pz9op16du4rt1b4ejwjf301nx1a91v0511s
1,2026/02/18,テスト受託先 制作費,120000,テスト銀行 本人普通,収入,事業・受託,,0,1gkz9uh1ph4ytt1mx4d4s15ao8bacie6591l5v7a7nu
1,2026/02/18,テストデータセンター 利用料,-4800,テストカード 配偶者名義,通信費,事業・情報サービス,,0,1coyw8mxzxyb6vb3ct51ed5rob8r782k1o2h1gir79q
1,2026/02/18,テスト協力会社 外注,-32000,テスト銀行 本人普通,その他,事業・外注費,,0,6sq7sq7k5yzp1uxaj98zka8dm2jt8qabb0j711ib2xo
1,2026/02/17,テストスーパー,-57085,テストカード 配偶者名義,食費,食料品,,0,keb5pmfo068h1qpmkk3vq3pvc1axeip416dyo226rq5
1,2026/02/18,テスト食堂,-21065,テストカード 配偶者名義,食費,外食,,0,1s8m126mkro1d16vw0u117jw4eax4dc6l14xg20c1k5
1,2026/02/19,テストドラッグ,-10467,テストカード 配偶者名義,日用品,日用品,,0,xzs2of1yqq1o5kdcytccvcn75kynu7r1u9w0yi16k1p
1,2026/02/20,テスト電力,-8943,テスト銀行 本人普通,水道・光熱費,電気代,,0,1krqcs3187tn6l2m8dnu1tf8i4v1csa5nq1pdnu7xg3
1,2026/02/21,テストガス,-7674,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,189k1kb1g7wwkxfm9dqsybi618v25koklg8or71fxct
1,2026/02/22,テストモバイル,-8673,テストカード 配偶者名義,通信費,携帯電話,,0,cm6mhobvs94lql8u731xozpzccbjrej1ogmnin1l5eq
1,2026/02/03,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,e0szx1aqm3gsgsvm8x5g1il9eyc7u1hnqay0jexs0ks
1,2026/02/04,テスト書店,-5578,テストカード 配偶者名義,趣味・娯楽,書籍,,0,11mj2bz1r9u93e1egixyf1jb5j9oage49n1vzrnodjp
1,2026/02/05,テスト交通 IC チャージ,-5367,テストカード 配偶者名義,交通費,電車,,0,1m6oropis67zlvibqk6zp5gte18tdl7kqvy7s9cf227
1,2026/02/06,テスト石油,-7283,テストカード 配偶者名義,自動車,ガソリン,,0,re0r9b1epsknv15ktzsm1mpf2kci0577xazl88wwwpe
1,2026/02/07,テスト薬局,-3003,テストカード 配偶者名義,健康・医療,医療費,,0,13k5ezg1r8tsro1us0p0yyocz4fhl6q9qilpo1k1i71
1,2026/02/08,テストスクール,-12000,テストネット銀行 本人,教養・教育,習い事,,0,yuaabyigkdjei8i4wmuoilnj8osblj5dsb2c1hxt2yf
1,2026/02/09,テスト生命,-14500,テスト銀行 本人普通,保険,生命保険,,0,1vu76a0bbnunj1nn1pjq16mjz2e11kjx0y128tlaxjy
1,2026/02/10,テスト市 住民税,-21000,テスト信用金庫 本人,税・社会保障,税金,,0,sgkrvlhpod6y1qjtn5p7584gt5taacku4dns3104ujz
1,2026/02/11,テスト衣料,-7597,テストカード 配偶者名義,衣服・美容,衣服,,0,1odc4pfq78yqs142uod91jbvd611sdjoffuhvp27ijs
1,2026/02/12,テスト贈答,-5490,テストカード 配偶者名義,交際費,交際費,,0,391ij51ymzihnhuz1x015ry1x816ig3vrusvpd211r8
1,2026/02/13,テスト家電,-21332,テストモール(ポイント),特別な支出,特別な支出,,0,1f8j67j151l5g93rrzte1wlbgqwks3c3e1mppagn1cs
1,2026/02/14,テスト引き出し,-31084,テスト第二銀行 本人,その他,使途不明金,,0,1cfz5uo1aqn9sqa0t74l1hvwztbygy6oh1xct2neffq
1,2026/02/15,テスト未分類決済,-3305,テストカード 配偶者名義,未分類,未分類,,0,7r0oq21irzhjz1h71hdv1djmfpn1f7lk5f15db07j1g
1,2026/02/10,Anthropic Claude 月額,-3000,テストカード 配偶者名義,通信費,サブスク,,0,1n8hrg0xy6ntp589egh4agrt61nfgd7hbobi6v18jrr
1,2026/02/10,GitHub 月額,-1800,テストカード 配偶者名義,通信費,サブスク,,0,rzr4ni6e568bpyov7mhfjl9nnzy5as163cm1a460xzg
1,2026/02/10,Adobe CC 月額,-6480,テストカード 配偶者名義,通信費,サブスク,,0,1vlq5giixswlezhddkil0mxil1dri2yo1vun5c51g6l
1,2026/02/10,Notion 月額,-1200,テストカード 配偶者名義,通信費,サブスク,,0,i7sjg21b2p8di10exnw8fzea5xqtbvl31tczz3j1v6e
0,2026/02/26,カード引落,-150000,テスト銀行 本人普通,現金・カード,カード引き落とし,,1,144n94y11f97jm146fwnpjyeztv1hgpl171jgrzns93
0,2026/02/27,ATM引き出し,-30000,テスト銀行 本人普通,現金・カード,ATM引き出し,,1,91yxqqswe81yuk1dnawyk5rndof8gl1fklqbeuqy1oy
0,2026/02/06,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,dus4031nqcs0wdhig19ne4eiy1019t2dw9xs9855u22
0,2026/02/13,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,11be923hgxee81st3m5l1cydgpqjkzxjo1klykrb7az
0,2026/02/20,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,nk6zxf86wnmo1o9iiwp13z77lfehf0veqgaikh16o0h
0,2026/02/27,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,1p4z3l71lddvuxyln9oz1trwac4hb7bdy1gyxl3m1c5
0,2026/02/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,13vlk1015ka6v66cns4w17gkdb51pxaj1y5wwori1sq
1,2026/03/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,1xjtqpo1d1q0pqgh6ml1jqgtk2fv2eyfio921d1qgoj
1,2026/03/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,t8hc381npkh651dzsruisz9br6p5m846s9enwb1dhp8
1,2026/03/15,テストクライアント 入金,480000,テスト銀行 本人普通,収入,事業収入,,0,165mmwsvsz9kcqulxla1ikiq6wngnp7j18x31kd9lat
1,2026/03/18,テスト受託先 制作費,120000,テスト銀行 本人普通,収入,事業・受託,,0,oth6dhz21c4lg1tr56h4ua21jk8ifpedr1rz184bcqm
1,2026/03/18,テストデータセンター 利用料,-4800,テストカード 配偶者名義,通信費,事業・情報サービス,,0,301ymd94ganp80eb2y1w0yyvgya57t61hzmef4qjcvo
1,2026/03/18,テスト協力会社 外注,-32000,テスト銀行 本人普通,その他,事業・外注費,,0,1h39z5hi5oyh9uva3alw1wttb1p68k431hwf9bm17dv
1,2026/03/13,テストスーパー,-61675,テストカード 配偶者名義,食費,食料品,,0,1c70aza1rx6rhi1xvgbbgvldtpe1ktkn2e1vzx1e61o
1,2026/03/14,テスト食堂,-16735,テストカード 配偶者名義,食費,外食,,0,qz61lur7dpxqqmb6i1gejgxgzpy2lu7ppsf1uyxf8hq
1,2026/03/15,テストドラッグ,-8430,テストカード 配偶者名義,日用品,日用品,,0,nyngdb1kosm2gapigokcszuuf1vu0p221gjnzhm1630
1,2026/03/16,テスト電力,-10054,テスト銀行 本人普通,水道・光熱費,電気代,,0,1qnik5hcmfvi21wk83p21k2bh699wuc193dxd9z1612
1,2026/03/17,テストガス,-8025,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,v7k4kuq5lk11jky2q012biddx1qez4fw13z6246776i
1,2026/03/18,テストモバイル,-8933,テストカード 配偶者名義,通信費,携帯電話,,0,1ldjnog1xpkx8ei6194z1zkljqldgz9upirey775df8
1,2026/03/19,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,17wyf6epi7lwg1idi2cc1nvthv91gv2o6v2a82qyr74
1,2026/03/20,テスト書店,-5223,テストカード 配偶者名義,趣味・娯楽,書籍,,0,9xaeo41gupb7efkr17vnuygwk14d8lnu3kzcnyg0bj7
1,2026/03/21,テスト交通 IC チャージ,-6737,テストカード 配偶者名義,交通費,電車,,0,enfa2917mjb581x4e9439m9xpyx2p7cc1yfn0jk1jqv
1,2026/03/22,テスト石油,-6739,テストカード 配偶者名義,自動車,ガソリン,,0,1106mufk8yuze89v2k2976dy91nv7zy81apojcd1pe9
1,2026/03/03,テスト薬局,-3500,テストカード 配偶者名義,健康・医療,医療費,,0,c52i1l6r9n90lprz6e1kt511l7db64u1so8imdc8p55
1,2026/03/04,テストスクール,-12000,テストネット銀行 本人,教養・教育,習い事,,0,ormekrdgunf2wtmka34f55ng1oom4cmvpfoh01itg6z
1,2026/03/05,テスト生命,-14500,テスト銀行 本人普通,保険,生命保険,,0,11y7x14qlf2foub2suh2iaf4ckfvg0ph2ydjlcvydk8
1,2026/03/06,テスト市 住民税,-21000,テスト信用金庫 本人,税・社会保障,税金,,0,y7aini1u3jl6a1l27ns1bwdw0gktif9wum0sfx8aw07
1,2026/03/07,テスト衣料,-6088,テストカード 配偶者名義,衣服・美容,衣服,,0,1rvpzvk13axgz7urjt4zjs1sknsgp3fx1pcrbjx1pya
1,2026/03/08,テスト贈答,-6370,テストカード 配偶者名義,交際費,交際費,,0,15a6ytm19p1fgy1en1gwj1sbugcf1vz74u85po16z1w
1,2026/03/09,テスト家電,-29254,テストモール(ポイント),特別な支出,特別な支出,,0,1ih819v1iie6o8155xdz1rblhlo67cfhu15fisbf1nn
1,2026/03/10,テスト引き出し,-28482,テスト第二銀行 本人,その他,使途不明金,,0,3tp1bo56wywf1paex2619cuz4y1cibt3c9bghc2132f
1,2026/03/11,テスト未分類決済,-6280,テストカード 配偶者名義,未分類,未分類,,0,1gum9z01ytuqfyi6t6zd10g63hzcot42ypy7rxlzmfv
1,2026/03/10,Anthropic Claude 月額,-3000,テストカード 配偶者名義,通信費,サブスク,,0,1d2ftaxllfu2b1lq2uwm132ph247srgf1y5ls431vfn
1,2026/03/10,GitHub 月額,-1800,テストカード 配偶者名義,通信費,サブスク,,0,3bg9518oze6bcu4wwx1cteqft18lhres1htnhtl1gca
1,2026/03/10,Adobe CC 月額,-6480,テストカード 配偶者名義,通信費,サブスク,,0,1npizbh15on7tc1t0jla01o3rltj26cpgb1ctwvetun
1,2026/03/10,Notion 月額,-1200,テストカード 配偶者名義,通信費,サブスク,,0,r8sr6lyazgp84v84uhkqhu50dmqtz874cc5s92yv9pp
0,2026/03/26,カード引落,-150000,テスト銀行 本人普通,現金・カード,カード引き落とし,,1,1yabmou1lti9in11tvjicrzx24717v7mkb1d48wvsxl
0,2026/03/27,ATM引き出し,-30000,テスト銀行 本人普通,現金・カード,ATM引き出し,,1,m6m332gxy3yuegrgcnse24dqcu9vv11p8mtau6j845s
0,2026/03/06,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,17otbmqcqxeqi6keakvj0o4zudaafujunc6m91inz66
0,2026/03/13,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,bvxkiq1ina7h71cfzeon18z7wuy1x0gg1y1itg3ny1t
0,2026/03/20,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,fb1xf3txtbbw13a7zh25c7phl1n055eig7vmow1gzv3
0,2026/03/27,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,1f440jb1fezg9cuzh8li1yy5na4xe279311sdtm71by
0,2026/03/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,bzcrez1lmrsi83a5jay13otklb1t8s54dyvtc8hooyo
1,2026/04/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,1pp5qubrfe0jznffwxjpf5yuw13cafdo1dqka2l1wj4
1,2026/04/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,13db77w2oo9lm1gkt99htjkkrcd9y1v82d7fef1yuaf
1,2026/04/15,テストクライアント 入金,264570,テスト銀行 本人普通,収入,事業収入,,0,1vt8xgca8ueqy1181w7210s43ndwufpe1stycalnc85
1,2026/04/18,テスト受託先 制作費,120000,テスト銀行 本人普通,収入,事業・受託,,0,sjulhv1dtgryt9eamii1rp2saa1jd13zl9epwn9fzei
1,2026/04/18,テストデータセンター 利用料,-4800,テストカード 配偶者名義,通信費,事業・情報サービス,,0,15nkptt16kyk59177fhyeryhcxz1nrtx6xgr8fo1t1t
1,2026/04/18,テスト協力会社 外注,-32000,テスト銀行 本人普通,その他,事業・外注費,,0,imkfmaz2gpwj3jnznk1vc4b9z138a1t1cfp6ll134l1
1,2026/04/09,テストスーパー,-62617,テストカード 配偶者名義,食費,食料品,,0,ddb7s41q0xiap1c8h0cqmkgom9zq5txc1pf1egd135b
1,2026/04/10,テスト食堂,-13560,テストカード 配偶者名義,食費,外食,,0,18pawyyenlssi2v2otmgrvw2818u2dp7wuyga51kb3a
1,2026/04/11,テストドラッグ,-10021,テストカード 配偶者名義,日用品,日用品,,0,1dwwztz5hnwcjczz0fj833eyl14sslq01q6af3myp04
1,2026/04/12,テスト電力,-9806,テスト銀行 本人普通,水道・光熱費,電気代,,0,1hzmd11vjzvih1pomfz51onn773oerbgzrprzfm89gs
1,2026/04/13,テストガス,-8306,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,nbzshnm8mvoo1ggw31h1xwsx3yaq0nnwzyo45e8j0w9
1,2026/04/14,テストモバイル,-8776,テストカード 配偶者名義,通信費,携帯電話,,0,1t912kd1227iqz6kzed3a306sc1k1l482omugnaizlr
1,2026/04/15,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,z10zeu1a48wnxu2fv5f1n34e161c0s8eb1wakxw21ce
1,2026/04/16,テスト書店,-4908,テストカード 配偶者名義,趣味・娯楽,書籍,,0,1lheg7wi19fc31fxahde1jasez8zbzc73145l63n12e
1,2026/04/17,テスト交通 IC チャージ,-5509,テストカード 配偶者名義,交通費,電車,,0,1672d9u1sb41u8q7azqf18zjud21jksb4gwx7sar13p
1,2026/04/18,テスト石油,-6604,テストカード 配偶者名義,自動車,ガソリン,,0,bmz2c458nzz9xjdn62zwv9dpomuyqhvbkgtkgl3y6j1
1,2026/04/19,テスト薬局,-3372,テストカード 配偶者名義,健康・医療,医療費,,0,jjla1xlvf6mn1njq1hdzfye3j1n7lzzg450wt5s66fh
1,2026/04/20,テストスクール,-12000,テストネット銀行 本人,教養・教育,習い事,,0,1fwm8uf1ueto8a1b541ehlks9ob1ju1gfa1c3gyj1pi
1,2026/04/21,テスト生命,-14500,テスト銀行 本人普通,保険,生命保険,,0,c80tx5115bp8o1hd31y91b5466qlv4svo1rjvf01144
1,2026/04/22,テスト市 住民税,-21000,テスト信用金庫 本人,税・社会保障,税金,,0,qf9v3i1p851iy1t6za0xg3lwg21tupc89gvl000kp8i
1,2026/04/03,テスト衣料,-4922,テストカード 配偶者名義,衣服・美容,衣服,,0,1032lt3gk8xmn88t3hg1j1wu6p100oawp12f3fgiudf
1,2026/04/04,テスト贈答,-5849,テストカード 配偶者名義,交際費,交際費,,0,vdsk677g5u2b3izy201necu8x18wlrkaofktsd12xtq
1,2026/04/05,テスト家電,-22378,テストモール(ポイント),特別な支出,特別な支出,,0,1q5t93b1w98cp31vjceer1rljqzsdnrzsljgnvmv1qi
1,2026/04/06,テスト引き出し,-33934,テスト第二銀行 本人,その他,使途不明金,,0,148mp9zkupujnkg7n091iasctc18trup3kfvaiafu7j
1,2026/04/07,テスト未分類決済,-6433,テストカード 配偶者名義,未分類,未分類,,0,1huvlwo1ap5dvzt129q814q53mrr3x5yy6wc0t011sw
1,2026/04/10,Anthropic Claude 月額,-3000,テストカード 配偶者名義,通信費,サブスク,,0,d20dlc155qworsdosm7z0kmva88dkpfsty6efodc9vx
1,2026/04/10,GitHub 月額,-1800,テストカード 配偶者名義,通信費,サブスク,,0,1g8b2fsy5qtg61ox4vgxcxxyir17o73chc20t1kph6y
1,2026/04/10,Adobe CC 月額,-6480,テストカード 配偶者名義,通信費,サブスク,,0,1kbrj941s9vi7faeeatykill7yxtjtcs1wdkrxn1t1f
1,2026/04/10,Notion 月額,-1200,テストカード 配偶者名義,通信費,サブスク,,0,1ny1yh3nmmtb196ec2e1xn6psm1w33a931btfnv0rnf
0,2026/04/26,カード引落,-150000,テスト銀行 本人普通,現金・カード,カード引き落とし,,1,1o7uwt59gfkib1h1czy8s9vbhv1fgmmof192lj0713s
0,2026/04/27,ATM引き出し,-30000,テスト銀行 本人普通,現金・カード,ATM引き出し,,1,sv14211li0x93i0wlrg15yaz051x8enavl9ty5e98px
0,2026/04/06,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,1ys7xf6yep0xfdk1pct1dolnoam6c4q41q4wl5g1v61
0,2026/04/13,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,lnp99m14qb6fj1ucndni18ggdky17ljvbm18xe2sn1p
0,2026/04/20,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,172hlxe1dc6562167p7zs4j2i6pxlxp8hn8lx41xbsd
0,2026/04/27,電子マネーチャージ,-3000,テストカード 配偶者名義,現金・カード,電子マネー,,1,5k8djerpf5nrg5gku41y1wri81ix7hrs1umt3u3bx16
0,2026/04/26,集計対象外テスト行,-9999,テスト銀行 本人普通,その他,未分類,,0,1ios2q41uqat8s1xdvatg1lgyqdw1s2aicl14bgkaqy
1,2026/05/25,テスト商事 給与,285000,テスト銀行 本人普通,収入,給与,,0,1dxmm16nd67f518190ej76crdx1dplv7511fufk6zbc
1,2026/05/25,テスト工業 給与,182000,テスト銀行 配偶者普通,収入,給与,,0,9a6c601dremk3klq177ye4j8qjx66t1msubfnomi2v7
1,2026/05/15,テストクライアント 入金,311667,テスト銀行 本人普通,収入,事業収入,,0,1lqd3yy15r1d9i1d8lcyk1i8o6j1hl6zne19wzg3o9u
1,2026/05/18,テスト受託先 制作費,120000,テスト銀行 本人普通,収入,事業・受託,,0,10d4io3uez9sc128u8ivnl4jdy4l2zc51km3ejk11t7
1,2026/05/18,テストデータセンター 利用料,-4800,テストカード 配偶者名義,通信費,事業・情報サービス,,0,1wb6ai51jmwhdbludjn7v73edg113yvrvswv4g11udn
1,2026/05/18,テスト協力会社 外注,-32000,テスト銀行 本人普通,その他,事業・外注費,,0,sljysvcbv07s1ofuqluiaqf9n61pqgeu5kwah1bg4df
1,2026/05/05,テストスーパー,-62966,テストカード 配偶者名義,食費,食料品,,0,1534qvx1euidy1q86th0n1t9odety6br19kt95x9rhy
1,2026/05/06,テスト食堂,-19698,テストカード 配偶者名義,食費,外食,,0,q2hyya1kexjtn16iu7nf1chs8k8zfcfim1ju2r68kvk
1,2026/05/07,テストドラッグ,-9637,テストカード 配偶者名義,日用品,日用品,,0,cvmekstg6ycd6vjigp8shcdq1y94fw71aqy4p5c4l0u
1,2026/05/08,テスト電力,-9136,テスト銀行 本人普通,水道・光熱費,電気代,,0,1fwvzqe123gni8c30m9y12u0fukgfaffpxdecg61at7
1,2026/05/09,テストガス,-6474,テスト銀行 本人普通,水道・光熱費,ガス・水道,,0,k117f018vb4t3vor4st1xj0mdjkfbedl1qpx5zjroah
1,2026/05/10,テストモバイル,-8853,テストカード 配偶者名義,通信費,携帯電話,,0,6g06j5nvysylnylnowayglfy1541swo667pmv1w2c74
1,2026/05/11,テスト不動産 家賃,-128000,テスト銀行 本人普通,住宅,家賃,,0,p0g1tb1vpa7u71srbyqljl3nx216grck06dzro31o2f
1,2026/05/12,テスト書店,-4562,テストカード 配偶者名義,趣味・娯楽,書籍,,0,1tvdisd5u8wrf168fx6ov8c2vb186p34os5qeg61x79
1,2026/05/13,テスト交通 IC チャージ,-5686,テストカード 配偶者名義,交通費,電車,,0,zhe5img2pva11iinjxjmnnnn7pwxqkg16b7tofnjuwe
1,2026/05/14,テスト石油,-6916,テストカード 配偶者名義,自動車,ガソリン,,0,1kzjwtd1bwa65qirwfaz4mal9l1cgau7t1gsz6n2i3x
1,2026/05/15,テスト薬局,-3517,テストカード 配偶者名義,健康・医療,医療費,,0,rfo6ltylfcx218pub3n1u8o165rog9vxpnz2vhmrgqi
1,2026/05/16,テストスクール,-12000,テストネット銀行 本人,教養・教育,習い事,,0,6fjehx1nbih1c13ivbp51pdan3jsr2ytbso9jpw17sj
1,2026/05/17,テスト生命,-14500,テスト銀行 本人普通,保険,生命保険,,0,hso036e4pqmc12kxvnmbr63sczz4ha014l5mjft0b50
1,2026/05/18,テスト市 住民税,-21000,テスト信用金庫 本人,税・社会保障,税金,,0,1dpg1omkt30s1bg91qmfpte1o143xqu3i81pzh1wyzb
1,2026/05/19,テスト衣料,-5843,テストカード 配偶者名義,衣服・美容,衣服,,0,cvhaly1qmo8bu1wy47pwjhoikr1br8v7oqwuzjv1fml
1,2026/05/20,テスト贈答,-4066,テストカード 配偶者名義,交際費,交際費,,0,q2njpmk22eumvhkkcw1wmw5ofh7ogqj2fcsf81mepnd
1,2026/05/21,テスト家電,-32172,テストモール(ポイント),特別な支出,特別な支出,,0,10qm2ab1ahjopi1huhvxa1vlwetn1e9mzku1n3b6jm1
1,2026/05/22,テスト引き出し,-31808,テスト第二銀行 本人,その他,使途不明金,,0,wfcszb1easn4j19dkel21vjmzxq1vwn4tsixk6ctdld
1,2026/05/03,テスト未分類決済,-4918,テストカード 配偶者名義,未分類,未分類,,0,1rv72jjp2nr1s189j0c414yueufjm677i39wg0o1gqf
1,2026/05/10,Anthropic Claude 月額,-36000,テストカード 配偶者名義,通信費,サブスク,,0,12mfgkj1u937b42qlwz31u4upz61fy6jkv1u0f8ff1k
